song,mfcc hash,mel spectrogram hash,Chroma_stft hash
Group17_Song1_Full.mp3,f4f0b4a6848de35c,89898d9437337373,a85f57a8f857a8a0
Group17_Song1_Music.mp3,cbc99495959d1d4a,b4b4949595c9cb4b,a37e7ca3f85c8181
Group17_Song1_Vocals.mp3,cb9b8b8b89cba234,c9c9c99833333375,9393939393939393
Group17_Song2_Full.mp3,84fedefce28ce800,818383e373737c3c,d3fe6c00006cf3f3
Group17_Song2_Music.mp3,8d8d8d8587c7c71c,b8b8b8babb1b0b03,e8f770082271dfe4
Group17_Song2_Vocals.mp3,8572834da38d6e37,8383c3c373727c3c,83e23c595d2cc3a7
Group17_Song3_Full.mp3,c0d8c8ded9f03d34,84c4c3cbcbb53539,e613e8e81be613e8
Group17_Song3_Music.mp3,c0c0c0d3dbdb5a6d,9696968686a6aeae,817e81b84fb07ec3
Group17_Song3_Vocals.mp3,8459c3ad7b943d34,c5c1c3cbcb313539,f63f010113c6bfe8
Group17_Song4_Full.mp3,9ff696a5b2a52504,86929adae8657565,bb76412088f7df22
Group17_Song4_Music.mp3,979ee4f475707030,e0e0d4d4f0dc9ed4,ff7e008020ffdf20
Group17_Song4_Vocals.mp3,8f3296a5baa58b54,96969a5a6a657561,eb205de70877d528
Group22_Song1_Full.mp3,cf8f8f87978d8420,8787838acbcbcb49,d907c8d904fc0fdc
Group22_Song1_Music.mp3,8fafa7a7b6a42140,c3cbcbc3c3c3c1c1,bc529cb412fc23dc
Group22_Song1_vocals.mp3,8bbe9a85969fc150,a4a4a6aa7a5a4b5b,e1e1e1e11e1e1e1e
Group22_Song2_Full.mp3,8f9da587f4b49308,8282878d8d9d9f97,ffffffff00000000
Group22_Song2_music.mp3,c4e4e0f4f0f4a51b,8b8b8b8b8b8f8785,f1f1f1f0f0e0e0e0
Group22_Song2_vocals.mp3,b391b19193bb3b11,a4a4a4a53d1d1f5b,c6c6c6c6c6c6c6c6
Group22_Song3_Full.mp3,87c7c7878f874c18,96968787878d8d8d,f4093c7b03f60d9c
Group22_Song3_music.mp3,8787c7c7cfc74808,8e8e8f8f8f858585,ec073c7b03f70c1c
Group22_Song3_vocals.mp3,9fb3b7b390884a4c,b6b6b6b25249494d,cc3333cc33cccc33
Group22_Song4-music.mp3,cbcbcb8b8a8a3836,fafaeaaa82070707,e30ed117c12ec31f
Group22_Song4_Full.mp3,e888e888bcbc3e37,9e9e8a8aca4a4e6e,e11ee11ee11ee11e
Group22_Song4_vocals.mp3,8e8e8595b5353555,9f8f8a8aca4a6a6a,f03cf23dd32d8701
Group24_Song1_Full.mp3,c0c0eae2e6ee6e2c,a2a2a3e3e3e2e2e2,df71ee74ca118314
Group24_Song1_Music.mp3,a89dbde9b5152b01,a3a3a3a3a3a3a3a3,fc9ff13733008c8c
Group24_Song1_Vocals.mp3,c2e6c2e0e2eeca4d,8e8e9ed75868686a,df34cc665a839925
Group24_Song2_Full.mp3,82c2f2f2ebe3212b,87878782cac3c78f,aeb95755a8aaa8a1
Group24_Song2_Music.mp3,8a8a8acadada1a5f,838383838f8f8f8f,9bcd757724b8a842
Group24_Song2_Vocals.mp3,87d68756a9636968,8d8d9cdc5a52626b,af1056b9a87f44a9
Group24_Song3_Full.mp3,81e1e1f8f2f37260,8787878787878787,b44ab44b73b14bb4
Group24_Song3_Music.mp3,8585ebeaebea0a24,a387878787878787,944ec93633b936b1
Group24_Song3_Vocals.mp3,e0f8d8b8f0f17071,9c9c9c8c4d69695b,c7583cc3733c43a5
Group24_Song4_Full.mp3,8bf9f9f4f0d06006,85858d8f8f8b8b8b,fdf5dde4130a220a
Group24_Song4_Music.mp3,91b0b0f0f8e86c6f,c283878787878f8f,a973bdc83ba4460d
Group24_Song4_Vocals.mp3,83819193979f3e1e,9599b9a9696b4a4a,94f66d2596cb6858
Group25_Song1_Full.mp3,cfc5e8e9ecfe0020,a7a3a3a9a3a3a3a2,ae4c44fe23717b30
Group25_Song1_Music.mp3,8f85ccccccef0534,a5a3a3a3a3a3a3a3,be874ded023b7b00
Group25_Song1_Vocals.mp3,93cd83416d92ef92,a2a3c949595b5676,a0c957f2aa171daa
Group25_Song2_Full.mp3,f8f8a98f87070707,a1a1b1b9b1b3b2b1,d286ba3603f00fdb
Group25_Song2_Music.mp3,f8f8b98b87070707,b1b1b1b1b1b1b1b1,be075afc05da1e12
Group25_Song2_Vocals.mp3,85d2cbacc95aa65a,a484dd595b5a363a,f4b40737f6f20605
Group25_Song3_Full.mp3,85c0c0b0b8b1bf7f,878787878687878f,defe79311002878f
Group25_Song3_Music.mp3,8581818581b77f7f,8787878787878787,a8f07181921e5f5f
Group25_Song3_Vocals.mp3,bf97a5baa010a978,8585c75656746579,c7c738383838c7c7
Group25_Song4_Full.mp3,e1e0f0f1f6f18611,a5a5adada5858587,ec0f31310fec0e79
Group25_Song4_Music.mp3,8c8cececece25343,a4a5a5a585959797,e05b39390fe4463d
Group25_Song4_Vocals.mp3,816f8369d6c1d671,83abab2b2ba66664,e33ea3e31cc11c55
